"libid","fastq_total_reads","percentAligned","median_cv_coverage","non_human_fastq_total_reads","RhinoVirusA_readCount","RhinoVirusB_readCount","RhinoVirusC_readCount","RhinoVirusA_normCount","RhinoVirusB_normCount","RhinoVirusC_normCount"
"lib28521",4135694,0.870029794273948,0.513732,537517,0,0,0,0,0,0
"lib28522",4370461,0.889958976867658,0.435162,480930,1739,7,15,3615.9108394153,14.5551327636039,31.1895702077225
"lib28523",5075285,0.911910168591518,0.406577,447081,1,0,0,2.23673115162577,0,0
"lib28524",4035073,0.911902709071187,0.425328,355479,1914,5,11,5384.28430371414,14.0655284841017,30.9441626650238
"lib28525",2744739,0.854794572452973,0.495626,398551,1,0,0,2.50908917553839,0,0
"lib28526",4470767,0.878058283958882,0.412016,545173,3030,2,14,5557.86878660535,3.66856025518505,25.6799217862954
"lib28527",3159873,0.86082826746518,0.460419,439765,0,0,0,0,0,0
"lib28528",7741778,0.933273596840416,0.374282,516581,0,0,0,0,0,0
"lib28529",7351845,0.929481647123953,0.388258,518440,6586,20,44,12703.4951006867,38.5772702723555,84.8699945991822
"lib28530",7512155,0.953297821996484,0.354142,350834,3,0,0,8.55105263457932,0,0
"lib28531",7713204,0.945941530912446,0.361214,416964,6660,12,33,15972.6019512476,28.7794629752209,79.1435231818574
"lib28532",7536335,0.952613040688876,0.364286,357124,5,0,0,14.0007392390318,0,0
"lib28533",9322098,0.956675310643591,0.342838,403877,7,0,0,17.3320094979412,0,0
"lib28534",4444036,0.906271686367977,0.39256,416532,10063,13,33,24159.0081914475,31.2100871001508,79.2256057157673
"lib28535",7191197,0.958137011126242,0.352587,301045,2,0,0,6.64352505439386,0,0
"lib28536",7456176,0.955092798238668,0.349234,334836,2794,4,13,8344.38351909592,11.9461467703592,38.8249770036675
"lib28537",7612007,0.944894033859927,0.36788,419467,1,0,0,2.38397776225543,0,0
"lib28538",8052706,0.957710116326114,0.345759,340548,3319,5,20,9746.05635622585,14.6822180720486,58.7288722881943
"lib28539",7619651,0.9441904885145,0.370934,425249,4,0,0,9.40625374780423,0,0
"lib28540",7344998,0.951463431303861,0.35861,356501,2,0,0,5.61008244016146,0,0
"lib28541",8050990,0.942613144470432,0.364402,462021,14615,17,84,31632.7612814136,36.7948643027049,181.809917731012
"lib28542",5584704,0.943995062227112,0.379266,312771,518,2,2,1656.16377477452,6.39445472885913,6.39445472885913
"lib28543",3056735,0.886221736591494,0.424833,347790,0,0,0,0,0,0
"lib28544",4578137,0.935461302272081,0.387062,295467,3263,2,9,11043.5344725468,6.7689454321464,30.4602544446588
"lib28545",7975477,0.957856063029208,0.351589,336118,3410,8,21,10145.2466098216,23.80116506703,62.4780583009538
"lib28546",7289703,0.942596015228604,0.374503,418458,0,0,0,0,0,0
"lib28547",6250205,0.940076045505707,0.380606,374537,0,0,0,0,0,0
"lib28548",7436959,0.949252644797423,0.37293,377406,432,1,2,1144.65588782372,2.64966640699936,5.29933281399872
"lib43980",655866,0.938935697230837,0.594098,40050,0,0,0,0,0,0
"lib43981",70688,0.858165459483929,0.86501,10026,2,0,0,199.481348493916,0,0
"lib43982",125136,0.864978902953586,0.869398,16896,583,2,2,34505.2083333333,118.371212121212,118.371212121212
"lib43983",127774,0.821943431371014,0.85921,22751,1179,2,1,51821.8979385522,87.9082238143378,43.9541119071689
"lib43984",7231,0.536302032913843,0.908741,3353,0,0,0,0,0,0
"lib43985",1720242,0.932315337028162,0.459476,116434,1,0,0,8.5885566071766,0,0
"lib43986",382663,0.891154880403906,0.693137,41651,0,0,0,0,0,0
"lib43987",199279,0.745407192930514,0.837354,50735,1110,3,3,21878.3877007983,59.130777569725,59.130777569725
"lib43988",75621,0.865923486862115,0.851868,10139,588,1,2,57993.8849985206,98.6290561199329,197.258112239866
"lib43989",207599,0.911935991984547,0.814594,18282,0,0,0,0,0,0
"lib43990",5869225,0.92517138123006,0.517625,439186,0,0,0,0,0,0
"lib43991",5387937,0.944372215191083,0.417043,299719,0,0,0,0,0,0
"lib43992",5384910,0.944784592500153,0.414537,297330,47,0,2,158.073521003599,0,6.72653280866377
"lib43993",5836399,0.945339754872825,0.406125,319019,42,0,0,131.653600569245,0,0
"lib43994",4772683,0.946229825027139,0.419493,256628,1,0,0,3.89669093006219,0,0
"lib43995",6133818,0.935777194562995,0.410408,393931,0,0,0,0,0,0
"lib43996",5904324,0.950815199165899,0.399704,290403,0,0,0,0,0,0
"lib43997",5555219,0.949878123616729,0.393321,278438,32,0,0,114.926841882214,0,0
"lib43998",5697432,0.950815033860869,0.3966,280228,28,0,0,99.9186376807457,0,0
"lib43999",5212569,0.950064929596136,0.392324,260290,0,0,0,0,0,0
"lib44000",7730,0.812807244501941,0.899296,1447,0,0,0,0,0,0
"lib44001",4553810,0.918492207623946,0.703288,371171,0,0,0,0,0,0
"lib44002",1278879,0.933863172356415,0.503606,84581,0,0,0,0,0,0
"lib44003",3300164,0.939020000218171,0.386745,201244,0,0,0,0,0,0
"lib44004",7534883,0.956647103876729,0.337334,326659,3771,6,15,11544.1484851175,18.36777801928,45.9194450482001
"lib44005",4222342,0.949260386771133,0.364433,214240,3508,4,6,16374.1598207618,18.6706497386109,28.0059746079164
"lib44006",1037124,0.938418164076812,0.489425,63868,0,0,0,0,0,0
"lib44007",613544,0.863175257194268,0.717676,83948,2,0,0,23.8242721684853,0,0
"lib44008",3742457,0.948330201255485,0.374815,193372,1,0,0,5.17137951720001,0,0
"lib44009",6712124,0.955396533198731,0.341074,299384,3048,0,8,10180.9047911712,0,26.7215348849638
"lib44010",7642796,0.945884856798481,0.332077,413591,4380,3,1,10590.1724167112,7.25354275117205,2.41784758372402
"lib44011",6296830,0.948390380556566,0.34646,324977,2,0,0,6.15428168762712,0,0
"lib44012",3522940,0.945837283632421,0.399697,190812,0,0,0,0,0,0
"lib44013",6820222,0.964876070016489,0.348114,239553,0,0,0,0,0,0
"lib44014",6847052,0.96211201550682,0.349265,259421,82,0,0,316.088520204609,0,0
"lib44015",7033113,0.963455016292217,0.344052,257025,122,0,1,474.66199786013,0,3.89067211360763
"lib44016",6175292,0.965346416007535,0.354355,213996,0,0,0,0,0,0
"lib44017",5362716,0.929304852242781,0.487403,379118,0,0,0,0,0,0
"lib44018",6632952,0.945078903028395,0.390325,364289,0,0,0,0,0,0
"lib44019",6355012,0.947780429053478,0.378075,331856,75,0,0,226.001639265223,0,0
"lib44020",5681110,0.94452650978418,0.392661,315151,37,0,0,117.404038064293,0,0
"lib44021",2689102,0.667866819481001,0.580331,893140,0,0,0,0,0,0
"lib44022",2695683,0.941556926389342,0.420558,157544,0,0,0,0,0,0
"lib44023",6513593,0.926367060392014,0.91189,479615,0,0,0,0,0,0
"lib44546",4354278,0.941758656659037,0.385673,253599,1,0,1,3.94323321464201,0,3.94323321464201
"lib44547",7560999,0.958388831951968,0.339268,314622,1,0,0,3.17841727533357,0,0
"lib44548",6874452,0.943414980568633,0.350374,388991,4413,4,7,11344.7354823119,10.28301425997,17.9952749549475
"lib44549",7833387,0.95921904535037,0.334413,319453,6826,9,25,21367.7755413159,28.1731584927986,78.2587735911073
"lib44550",10633663,0.964355368418202,0.317695,379033,0,0,0,0,0,0
"lib44551",5697732,0.933459839809945,0.368207,379128,0,0,0,0,0,0
"lib44552",6331787,0.950174255703801,0.342454,315486,1,0,0,3.16971276062963,0,0
"lib44553",7000516,0.949803128797934,0.329856,351404,4697,4,11,13366.3817144939,11.3829096993774,31.3030016732877
"lib44554",4438577,0.9501597020847,0.365792,221220,4656,2,14,21046.9216164904,9.040773890245,63.285417231715
"lib44555",1449179,0.937695757390909,0.461826,90290,0,0,0,0,0,0
"lib44556",3674689,0.936942963064357,0.388366,231715,1,0,0,4.31564637593596,0,0
"lib44557",5849133,0.957366843940803,0.345182,249367,3,0,0,12.030461127575,0,0
"lib44558",4700182,0.952398439039169,0.355829,223736,3225,5,8,14414.3097221726,22.3477670111202,35.7564272177924
"lib44559",2278787,0.941407424212969,0.399432,133520,2006,1,5,15023.9664469742,7.48951467944877,37.4475733972439
"lib44560",610714,0.922785460952262,0.575248,47156,1,0,0,21.2062091780473,0,0
"lib44561",8129511,0.940293333756483,0.43134,485386,0,0,0,0,0,0
"lib44562",8395818,0.941985640946481,0.399718,487078,0,0,0,0,0,0
"lib44563",9190630,0.944044749924651,0.372857,514264,62,0,0,120.560645893938,0,0
"lib44564",10064025,0.947253310678382,0.372271,530844,116,0,1,218.519941828484,0,1.88379260196969
"lib44565",9281878,0.943856512658322,0.354705,521117,0,0,0,0,0,0
"lib44566",8249412,0.936442864048977,0.411628,524309,2,0,0,3.81454447663496,0,0
"lib44567",8728244,0.937219445285902,0.382479,547964,0,0,0,0,0,0
"lib44568",8260895,0.941676779574126,0.379203,481802,37,0,0,76.7950319840931,0,0
"lib44569",5312172,0.934493649678512,0.418415,347981,75,0,0,215.52900876772,0,0
"lib44570",10526571,0.943443691207707,0.36923,595344,2,0,0,3.35940229514365,0,0
"lib44571",8616318,0.936615849136487,0.422584,546138,0,0,0,0,0,0
"lib44572",7445218,0.93983144617122,0.401738,447968,0,0,0,0,0,0
"lib44573",9240322,0.939806318437821,0.371767,556209,49,1,0,88.0963810366247,1.79788532727806,0
"lib44574",7420008,0.940195617039766,0.404476,443749,71,0,0,160.000360564193,0,0
"lib44575",8332625,0.945982688528525,0.372351,450106,1,0,0,2.22169888870622,0,0
"lib44576",11007397,0.934365681550325,0.472453,722463,1,0,0,1.38415392899014,0,0
"lib44577",4376577,0.921361374425721,0.532001,344168,0,0,0,0,0,0
"lib44578",9201871,0.934202402967831,0.456281,605461,0,0,0,0,0,0
"lib44579",7760079,0.947628754810357,0.360699,406405,2,0,0,4.9211992962685,0,0
"lib44580",8349658,0.953517736894134,0.343244,388111,0,0,0,0,0,0
"lib44581",8489752,0.955635688769236,0.33275,376642,8596,11,24,22822.7335241423,29.2054523924576,63.7209870380892
"lib44582",11014061,0.95656007352783,0.325523,478450,18918,34,45,39540.1818371826,71.0628069808757,94.0537151217473
"lib44583",6940048,0.948978739051949,0.343049,354090,0,0,0,0,0,0
"lib44584",5018898,0.925521498942597,0.380991,373800,0,0,0,0,0,0
"lib44585",204829,0.910325198092067,0.838316,18368,0,0,0,0,0,0
"lib44586",9756445,0.961735960178118,0.331784,373321,1067,0,1,2858.13013465623,0,2.67865992001521
"lib44587",5502311,0.952049238947053,0.353664,263840,2202,1,5,8345.96725288053,3.7901758641601,18.9508793208005
"lib44588",10212041,0.965065749344328,0.331201,356750,0,0,0,0,0,0
"lib44589",8347427,0.939188926120588,0.413353,507616,1,0,0,1.96999306562441,0,0
"lib44590",8671793,0.940208328312265,0.40009,518501,0,0,0,0,0,0
"lib44591",7598806,0.941962987343012,0.394469,441012,78,0,1,176.865935620799,0,2.26751199513845
"lib44592",5487146,0.936724847489023,0.411447,347200,68,0,0,195.852534562212,0,0
"lib44593",8168257,0.942836029767428,0.379233,466930,1,0,0,2.14164864112394,0,0
"lib44594",9422942,0.937133859043174,0.403386,592384,1,0,0,1.68809420916162,0,0
"lib44595",8313325,0.943549301873799,0.378483,469293,0,0,0,0,0,0
"lib44596",9426932,0.945488203373059,0.363742,513879,32,1,0,62.2714685752872,1.94598339297772,0
"lib44597",9334494,0.947745748189457,0.348988,487767,121,3,0,248.069262578239,6.15047758458444,0
"lib44598",8355707,0.946852971268619,0.369337,444081,2,0,0,4.50368288668058,0,0
"lib44599",8784443,0.930526500086573,0.452111,610286,0,0,0,0,0,0
"lib44600",8392493,0.928231575528273,0.467716,602316,0,0,0,0,0,0
