experiment,gene.set,pathway,contrast,fgsea.FDR,fgsea.NES,fgsea.leadingEdge,gage.FDR
P259_2,H,ALLOGRAFT_REJECTION,none_HRVnone_none,0.03993610223642172,1.443539066300057,IL12A;CCL4;TLR3;CCL19;CCR1;FCGR2B;FASLG;GZMA;CCL5;STAT4;CCR5;IL6;GBP2;CXCL13;CXCL9;TAP1;TLR2;WARS1;DYRK3;IL7;CD8A;FYB1;CSF1;TAP2;IL2RA;IL9;TRAT1;IRF4;IL15;IRF7;CD247;IL18;STAT1;IL12RB1;ST8SIA4;CDKN2A;CD28;SOCS1;CD7;CCL13;LIF;CCND2;CCR2;HLA-G;HLA-E;KRT1;ELF4;IRF8;FAS;KLRD1;PSMB10;ITK;CD80;ZAP70,0.31361588357016035
P259_2,H,APOPTOSIS,EOSsupp_HRVEOSsupp_none,0.05403458213256484,1.4154030090529237,IFNB1;CD38;ATF3;GCH1;LEF1;TNFSF10;CCNA1;HMOX1;FASLG;HGF;CD14;IFITM3;ISG20;BTG3;TAP1;CASP7;GADD45B;H1-0;IRF1;NEDD9;CASP1;PMAIP1;MCL1;IL1A;CFLAR;SAT1;CASP3;PSEN2;IGF2R;IL6;ERBB2;CCND2;CASP4;EMP1;CLU;CDC25B;DDIT3;BCL2L1;RNASEL;SMAD7;CAV1;ANXA1;DNAJA1;SQSTM1;BRCA1;JUN;FAS,0.16993000414076442
P259_2,H,APOPTOSIS,none_HRVnone_none,0.0392156862745098,1.608311491065357,IFNB1;CCNA1;CD38;FASLG;GCH1;HGF;ATF3;HMOX1;TNFSF10;EMP1;CASP7;ISG20;CTH;IFITM3;IL6;CD14;CASP1;BTG3;GADD45B;GUCY2D;FDXR;PMAIP1;CFLAR;SAT1;MCL1;NEDD9;TAP1;H1-0;LUM;SMAD7;CASP3;CASP4;BCL2L1;CD69;PLAT;DDIT3;IRF1;EREG;SQSTM1,0.13777103179956976
P259_2,H,APOPTOSIS,none_HRVnone_none,0.02413127413127413,1.5206168471182668,IFNB1;CD38;HGF;BMP2;ATF3;FASLG;GCH1;HMOX1;IL6;CASP7;H1-0;TNFSF10;JUN;GADD45B;BTG3;PDGFRB;IFITM3;ISG20;TAP1;PMAIP1;MCL1;CCNA1;CFLAR;EMP1;CASP3;SAT1;IRF1;IL18;NEDD9;DDIT3;GADD45A;IGF2R;SMAD7;RNASEL;BCL2L1;CCND2;IL1A;ERBB2;CD69,0.15505904133575688
P259_2,H,COAGULATION,AntiIL5_HRVAntiIL5_none,0.02639915522703273,-1.764973630356102,TFPI2;CTSK;A2M;F8;CTSV;SERPINB2;PROZ;CTSH;MMP2;OLR1;PROS1;SERPINE1;MMP7;SH2B2;VWF;MMP9;TIMP1;F12;C8G;C1S;PLAU;S100A13;MEP1A;GNG12;LRP1;SERPINA1;FBN1;BMP1;CFB;CPQ;C3;TF;MASP2;GSN;PRSS23;LTA4H;ITIH1;KLF7;THBS1;MMP11;MMP14;GP9;APOA1;FURIN;CSRP1;P2RY1;ANG;DPP4,0.06045802680210885
P259_2,H,EPITHELIAL_MESENCHYMAL_TRANSITION,AntiIL5_HRVAntiIL5_none,0.02639915522703273,-1.6855475307145455,WNT5A;TFPI2;COL6A3;PCOLCE;TGFBR3;GEM;SPP1;COL1A1;ADAM12;COL1A2;LUM;COL8A2;PMP22;ECM2;MMP2;INHBA;COL6A2;SLC6A8;MYL9;PDLIM4;TPM2;SERPINE1;SDC1;COL16A1;MEST;BDNF;OXTR;CCN1;NT5E;TIMP1;CTHRC1;CALD1;TNFRSF11B;IGFBP2;TNFRSF12A;SPOCK1;FBN2;MGP;CXCL12;SGCD;PRRX1;LOX;LAMA1;COL11A1;LAMC2;LRP1;PRSS2;GPC1;CXCL8;FERMT2;CXCL1;COL5A2;FBN1;BMP1;TNC;LAMA2;PVR;LAMA3;ITGAV;PFN2;DKK1;THBS1;LOXL2;SERPINH1;QSOX1;LGALS1;FBLN2;THBS2;SCG2,0.0085946818045586
P259_2,H,EPITHELIAL_MESENCHYMAL_TRANSITION,AntiIL5_nonenone_none,0.01555104800540906,1.477741949348938,COL6A3;VCAN;CTHRC1;COL1A2;IGFBP3;LUM;ECM2;PCOLCE;FN1;CCN1;SLC6A8;SERPINE1;COL16A1;LAMA3;ADAM12;LAMA2;LOXL2;ITGA2;PRSS2;TGM2;NT5E;TGFBR3;MMP14;VCAM1;MYL9;DPYSL3;PFN2;DKK1;CXCL12;FAP;GAS1;SLIT2;THBS2;IL6;CCN2;LAMC2;COL11A1;LAMA1;LOX;PRRX1;SGCD;TNC;EDIL3;FMOD;MSX1;ABI3BP;GPC1;CXCL1;ANPEP;CXCL8;COL5A2;IL15;ITGB3;ITGB5;IGFBP2;FERMT2;CDH2;RHOB;CALD1;WNT5A;GADD45B,0.05897744272020779
P259_2,H,EPITHELIAL_MESENCHYMAL_TRANSITION,EOSsupp_HRVEOSsupp_none,0.0257201646090535,-1.5773842663316813,PDLIM4;GEM;CDH2;COL1A1;TNFRSF11B;LAMA2;MAGEE1;SPP1;SLC6A8;ITGA2;LUM;COL6A2;QSOX1;FBN1;WNT5A;TAGLN;COL16A1;MMP1;TPM2;TFPI2;IL32;SGCB;PLOD1;PRRX1;MYL9;FSTL3;CXCL12;SERPINH1;ADAM12;BMP1;CTHRC1;PRSS2,0.9048994797610388
P259_2,H,IL6_JAK_STAT3_SIGNALING,EOSsupp_HRVEOSsupp_none,0.0257201646090535,1.8559114327716233,CXCL11;CXCL10;CD38;CXCL13;CSF3R;CCR1;IL15RA;HMOX1;CXCL9;CD14;ITGB3;STAT2;IRF1;IL7;STAT1;ACVRL1;IL12RB1;IRF9;OSMR;MYD88;SOCS3;SOCS1;IL2RA;STAT3;IL6;ITGA4;BAK1,0.04624282944128632
P259_2,H,IL6_JAK_STAT3_SIGNALING,none_HRVnone_none,0.02421307506053269,1.8454156474697143,CXCL10;CXCL11;CXCL9;CD38;CCR1;HMOX1;IL7;IL6;IL15RA;CD14;CXCL13;STAT2;CSF3R;STAT1;IL2RA;CCL7;OSMR;ITGA4;CXCL3;MYD88;SOCS3,0.16075972115300508
P259_2,H,IL6_JAK_STAT3_SIGNALING,none_HRVnone_none,0.02413127413127413,1.6892655191998125,CXCL11;CD38;CCR1;IL15RA;CXCL10;HMOX1;IL6;CXCL13;JUN;CXCL9;TLR2;IL7;STAT2;CSF1;IL2RA;IRF1;IRF9;STAT1;IL12RB1;STAT3;MYD88;SOCS3;SOCS1;ITGA4;BAK1;FAS;CSF3R;PIK3R5,0.1252156635798809
P259_2,H,INFLAMMATORY_RESPONSE,AntiIL5_nonenone_none,0.02757242757242757,1.399366432783777,CXCL10;CXCL11;CXCL9;CLEC5A;CCL7;SLC1A2;OLR1;CCL24;CD14;P2RX7;FFAR2;KCNA3;AQP9;SERPINE1;STAB1;ITGB8;MEFV;IL1A;KCNJ2;P2RY2;MMP14;TACR1;MSR1;OSMR;SLC4A4;IL6;ADM;MET;CCL20;SGMS2;CD70;CXCL8;SLC28A2;IL15;ITGB3;SLC31A2;RNF144B;ABCA1;RASGRP1;GCH1;TNFAIP6;IL1R1;OPRK1;PDE4B;ADGRE1,0.05897744272020779
P259_2,H,INFLAMMATORY_RESPONSE,EOSsupp_HRVEOSsupp_none,0.0257201646090535,1.7682422951603285,CXCL11;CXCL10;KCNA3;C3AR1;CSF3R;TNFAIP6;ITGB8;RTP4;GCH1;IL15RA;F3;OSM;TNFSF10;CXCL9;P2RX7;PDE4B;CD14;IFITM1;TLR3;ITGB3;LY6E;RNF144B;NAMPT;ADGRE1;AQP9;FPR1;IRF1;MXD1;CCL5;GABBR1;EIF2AK2;IL1A;NMI;IRF7;ABCA1;SERPINE1;CCRL2;RIPK2;OSMR;KLF6;AXL;SCN1B;CCR7;PROK2;SELL;SPHK1;KIF1B;SELENOS;MET;IL6;EDN1;RGS1;SLC31A2,0.01312231342260256
