experiment,gene.set,pathway,contrast,fgsea.FDR,fgsea.ES,fgsea.NES,fgsea.size,fgsea.FC,gage.FDR,gage.geomean,gage.statmean,gage.size,gage.FC
EOS,HALLMARK,ADIPOGENESIS,EOS.supp_HRV - EOS.supp_none,1,0.173180431,0.720436853,182,up,0.855667424,0.376493667,0.314957844,182,up
EOS,HALLMARK,ADIPOGENESIS,EOS.supp_HRV - none_HRV,0.34965035,0.315816431,1.239589038,182,up,0.588577237,0.035149908,1.815419131,182,up
EOS,HALLMARK,ADIPOGENESIS,EOS.supp_none - none_none,1,0.178309566,0.690184543,182,up,0.89490872,0.646772437,0.376945842,182,down
EOS,HALLMARK,ADIPOGENESIS,none_HRV - none_none,0.831330905,-0.241167664,-0.940738591,182,down,0.822186188,0.246655856,-0.685777335,182,down
EOS,HALLMARK,ALLOGRAFT_REJECTION,EOS.supp_HRV - EOS.supp_none,0.728416192,-0.253364856,-0.983092427,184,down,0.852993816,0.333614799,0.430310925,184,up
EOS,HALLMARK,ALLOGRAFT_REJECTION,EOS.supp_HRV - none_HRV,0.50274223,-0.284976031,-1.091045464,184,down,0.699311784,0.118953972,-1.182165142,184,down
EOS,HALLMARK,ALLOGRAFT_REJECTION,EOS.supp_none - none_none,0.866564417,0.268361821,1.039801183,184,up,0.908235226,0.817411703,0.906701136,184,down
EOS,HALLMARK,ALLOGRAFT_REJECTION,none_HRV - none_none,0.020924207,0.345615935,1.459052482,184,up,0.313615884,0.062723177,1.536055911,184,up
EOS,HALLMARK,ANDROGEN_RESPONSE,EOS.supp_HRV - EOS.supp_none,0.728416192,0.257565862,0.963407823,92,up,0.419379271,0.10903861,1.236456448,92,up
EOS,HALLMARK,ANDROGEN_RESPONSE,EOS.supp_HRV - none_HRV,1,0.204490007,0.729710562,92,up,0.809194959,0.469333076,0.077055416,92,up
EOS,HALLMARK,ANDROGEN_RESPONSE,EOS.supp_none - none_none,0.288398665,-0.425319792,-1.389892524,92,down,0.89490872,0.059851286,-1.563377858,92,down
EOS,HALLMARK,ANDROGEN_RESPONSE,none_HRV - none_none,1,-0.217122924,-0.771182132,92,down,0.87272908,0.544191798,-0.111164536,92,up
EOS,HALLMARK,ANGIOGENESIS,EOS.supp_HRV - EOS.supp_none,0.864297254,-0.311893521,-0.869254979,27,down,0.903917566,0.528667367,-0.072274451,27,up
EOS,HALLMARK,ANGIOGENESIS,EOS.supp_HRV - none_HRV,1,0.266204482,0.752247022,27,up,0.809194959,0.346717919,0.396409721,27,up
EOS,HALLMARK,ANGIOGENESIS,EOS.supp_none - none_none,0.866564417,-0.45232031,-1.19256843,27,down,0.89490872,0.184193611,-0.907450674,27,down
EOS,HALLMARK,ANGIOGENESIS,none_HRV - none_none,0.465430017,-0.41653621,-1.188786353,27,down,0.822186188,0.198188054,-0.855300667,27,down
EOS,HALLMARK,APICAL_JUNCTION,EOS.supp_HRV - EOS.supp_none,0.411211816,-0.306035326,-1.164504253,156,down,0.903917566,0.717628252,-0.576447463,156,up
