group,pathway,fgsea.FDR,fgsea.ES,fgsea.NES,fgsea.size,fgsea.FC,fgsea.leadingEdge,gage.FDR,gage.geomean,gage.statmean,gage.size,gage.FC
none_HRVnone_none,HALLMARK_ADIPOGENESIS,0.6175972927241963,-0.2587127804837633,-1.028998827825001,183,down,ITSN1;OMD;BCL6;CD302;SLC25A10;EPHX2;PHLDB1;ELOVL6;PEMT;LTC4S;REEP6;TST;GPX3;GPHN;SLC19A1;PFKFB3;HADH;APLP2;DHCR7;CMBL;IFNGR1;ALDH2;FAH;ESYT1;LIPE;SCARB1;PDCD4;ECH1;GPAM;VEGFB;POR;SSPN;MYLK;ETFB;DRAM2;BCKDHA;CDKN2C;SPARCL1;NKIRAS1;CAT;SLC27A1;CAVIN1;ECHS1;PGM1;SLC25A1;ACAA2;DHRS7B;SLC5A6;GBE1;ATL2;CD36,0.8855587988028762,0.1812106680636003,-0.9119822303048298,183,down
none_HRVnone_none,HALLMARK_ALLOGRAFT_REJECTION,0.5287794729542302,0.2658412057894662,1.0710681667027957,184,up,CXCL9;FASLG;CCL4;CCR1;IL15;IL7;IL6;TRAT1;CXCL13;CCR5;CDKN2A;DYRK3;CD40LG;STAT1;TAP2;TAP1;CCL19;WARS1;IL2RA;CCL7;IRF7;ST8SIA4;STAB1;ZAP70;IRF4;FYB1;CD80;GZMA;RIPK2;IL4;CCL5;HLA-E;TLR3;EREG;ELF4;IL12A;IFNG;KLRD1;CCND2;IRF8;ETS1;FCGR2B;B2M;TPD52;HLA-G;CD28;SOCS5;CTSS;IGSF6;HLA-A,0.6246118899942318,0.17489132919838485,0.9362148798103694,184,up
none_HRVnone_none,HALLMARK_ANDROGEN_RESPONSE,0.4207218167072182,-0.321830669890475,-1.157849645239398,92,down,MERTK;STEAP4;SELENOP;CCND1;ACTN1;INPP4B;ZMIZ1;GPD1L;CDC14B;SLC26A2;DHCR24;SGK1;MAF;AKAP12;STK39;FADS1;HSD17B14;HPGD;ITGAV;PLPP1,0.8855587988028762,0.22262981075710397,-0.7650364376811435,92,down
none_HRVnone_none,HALLMARK_ANGIOGENESIS,0.9605862547039019,0.25338521595747665,0.7514978257938258,27,up,MSX1;VCAN;LUM;NRP1;CCND2;FSTL1;THBD;JAG2;OLR1,0.9018402536706921,0.45092012683534605,0.12394078509306183,27,up
none_HRVnone_none,HALLMARK_APICAL_JUNCTION,0.9375,-0.2291945789408779,-0.8898779907887607,156,down,TNFRSF11B;CD276;MPZL2;SORBS3;MMP9;NLGN3;ADAM15;ACTN1;AMIGO2;ICAM5;NRXN2;MAP3K20;GAMT;TSPAN4;GNAI1,0.938376054090732,0.5308677876499895,-0.07751528567883254,156,up
none_HRVnone_none,HALLMARK_APICAL_SURFACE,0.701392470345539,-0.3386173733692482,-0.9912269759513359,31,down,MAL;GHRL;DCBLD2;TMEM8B;FLOT2;CD160;ADAM10;CRYBG1;LYPD3,0.8855587988028762,0.27170004494765815,-0.611379980534172,31,down
none_HRVnone_none,HALLMARK_APOPTOSIS,0.0392156862745098,0.4040536551061824,1.608311491065357,154,up,IFNB1;CCNA1;CD38;FASLG;GCH1;HGF;ATF3;HMOX1;TNFSF10;EMP1;CASP7;ISG20;CTH;IFITM3;IL6;CD14;CASP1;BTG3;GADD45B;GUCY2D;FDXR;PMAIP1;CFLAR;SAT1;MCL1;NEDD9;TAP1;H1-0;LUM;SMAD7;CASP3;CASP4;BCL2L1;CD69;PLAT;DDIT3;IRF1;EREG;SQSTM1,0.13777103179956976,0.013777103179956951,2.214441827117461,154,up
none_HRVnone_none,HALLMARK_BILE_ACID_METABOLISM,0.31134461957579296,-0.35026156413844506,-1.2444156326243936,89,down,PEX12;LCK;CYP46A1;ABCA3;EPHX2;ABCA9;ABCA6;AR;ALDH1A1;SLC23A2;MLYCD;NEDD4;CH25H;HSD17B6;ABCD2;DHCR24;PEX1;SLC29A1;FADS1;PEX6;PXMP2;HSD17B4;LIPE;ISOC1,0.8855587988028762,0.16507963091597228,-0.9764967358642646,89,down
none_HRVnone_none,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.886855862584018,-0.25832316383816,-0.8852438216404688,68,down,CXCL16;ALDOC;GSTM2;GNAI1;ETHE1;MVK;ACSS2;TM7SF2;TMEM97;CHKA;DHCR7,0.9044266318779715,0.3607210019573972,-0.3572854783007317,68,down
none_HRVnone_none,HALLMARK_COAGULATION,0.2904929577464789,-0.38169400771735684,-1.3855825841066898,100,down,TFPI2;MMP9;F3;KLF7;ITIH1;MST1;THBS1;A2M;CTSH;SH2B2;MMP15;LRP1;LTA4H;PLAU;CTSV;PROZ;MSRB2;MMP2;DPP4;MEP1A;GSN;FURIN;CPQ;BMP1;CAPN5;TIMP1;CFD;VWF;APOC1;S100A13;MAFF;F12;CSRP1;P2RY1,0.8855587988028762,0.11948692811012487,-1.181133896432434,100,down
