category,subcategory,group,size.group,size.overlap.category,size.category,Description,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
C2,CGP,EOSsup,2,2,21697,BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,1,66,0.015151515151515152,0.014752787092915338,NA,196740,VSTM4,ENSG00000165633
C2,CGP,EOSsup,2,2,21697,BRIDEAU_IMPRINTED_GENES,1,65,0.015384615384615385,0.014752787092915338,NA,8926,SNURF,ENSG00000273173
C2,CGP,EOSsup,2,2,21697,LEIN_LOCALIZED_TO_PROXIMAL_DENDRITES,1,37,0.02702702702702703,0.014752787092915338,NA,8926,SNURF,ENSG00000273173
C2,CP:PID,EOSsup,2,2,21697,PID_AR_PATHWAY,1,61,0.01639344262295082,0.014752787092915338,NA,8926,SNURF,ENSG00000273173
C2,CGP,EOSsup,2,2,21697,TERAO_AOX4_TARGETS_SKIN_DN,1,23,0.043478260869565216,0.014752787092915338,NA,8926,SNURF,ENSG00000273173
C2,CP:WIKIPATHWAYS,EOSsup,2,2,21697,WP_GASTRIC_CANCER_NETWORK_2,1,33,0.030303030303030304,0.014752787092915338,NA,8926,SNURF,ENSG00000273173
C2,CP:WIKIPATHWAYS,EOSsup,2,2,21697,WP_PRADERWILLI_AND_ANGELMAN_SYNDROME,1,66,0.015151515151515152,0.014752787092915338,NA,8926,SNURF,ENSG00000273173
C2,CGP,EOSsup,2,2,21697,AFFAR_YY1_TARGETS_UP,1,199,0.005025125628140704,0.036536453009971596,NA,8926,SNURF,ENSG00000273173
C2,CGP,EOSsup,2,2,21697,CAIRO_HEPATOBLASTOMA_CLASSES_DN,1,215,0.004651162790697674,0.036536453009971596,NA,196740,VSTM4,ENSG00000165633
C2,CGP,EOSsup,2,2,21697,DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP,1,258,0.003875968992248062,0.036536453009971596,NA,196740,VSTM4,ENSG00000165633
C2,CGP,EOSsup,2,2,21697,MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN,1,236,0.00423728813559322,0.036536453009971596,NA,196740,VSTM4,ENSG00000165633
C2,CGP,EOSsup,2,2,21697,MUELLER_PLURINET,1,299,0.0033444816053511705,0.038777187785183374,NA,8926,SNURF,ENSG00000273173
C2,CGP,EOSsup,2,2,21697,COLINA_TARGETS_OF_4EBP1_AND_4EBP2,1,359,0.002785515320334262,0.03965943452934883,NA,8926,SNURF,ENSG00000273173
C2,CGP,EOSsup,2,2,21697,FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP,1,383,0.0026109660574412533,0.03965943452934883,NA,196740,VSTM4,ENSG00000165633
C2,CGP,EOSsup,2,2,21697,RICKMAN_METASTASIS_UP,1,349,0.0028653295128939827,0.03965943452934883,NA,196740,VSTM4,ENSG00000165633
C2,CGP,EOSsup,2,2,21697,MIKKELSEN_MCV6_HCP_WITH_H3K27ME3,1,437,0.002288329519450801,0.04236964724453851,NA,196740,VSTM4,ENSG00000165633
C2,CGP,EOSsup,2,2,21697,LIU_PROSTATE_CANCER_DN,1,493,0.002028397565922921,0.044928803215321556,NA,196740,VSTM4,ENSG00000165633
C2,CGP,AntiIL5,36,35,21697,XIE_ST_HSC_S1PR3_OE_UP,9,188,0.047872340425531915,9.918309668579782e-9,6.853636087476113e-9,91543/3433/4600/83666/6373/3627/3434/1293/6262,RSAD2/IFIT2/MX2/PARP9/CXCL11/CXCL10/IFIT1/COL6A3/RYR2,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000138496/ENSG00000169248/ENSG00000169245/ENSG00000185745/ENSG00000163359/ENSG00000198626
C2,CGP,AntiIL5,36,35,21697,HECKER_IFNB1_TARGETS,7,95,0.07368421052631578,5.629286029008654e-8,3.8898843819486525e-8,91543/3433/4600/83666/3627/3434/200315/200315,RSAD2/IFIT2/MX2/PARP9/CXCL10/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000138496/ENSG00000169245/ENSG00000185745/ENSG00000128383/ENSG00000262156
C2,CGP,AntiIL5,36,35,21697,BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,8,204,0.0392156862745098,2.522333743398638e-7,1.7429540058806203e-7,91543/3433/4600/83666/6373/2766/3627/3434,RSAD2/IFIT2/MX2/PARP9/CXCL11/GMPR/CXCL10/IFIT1,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000138496/ENSG00000169248/ENSG00000137198/ENSG00000169245/ENSG00000185745
C2,CGP,AntiIL5,36,35,21697,BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,7,172,0.040697674418604654,1.8227134794607967e-6,1.2595104707746483e-6,3433/4600/8820/3627/3434/200315/200315/8349,IFIT2/MX2/HESX1/CXCL10/IFIT1/APOBEC3A/APOBEC3A/H2BC21,ENSG00000119922/ENSG00000183486/ENSG00000163666/ENSG00000169245/ENSG00000185745/ENSG00000128383/ENSG00000262156/ENSG00000184678
C2,CGP,AntiIL5,36,35,21697,TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP,7,186,0.03763440860215054,2.505486055584661e-6,1.7313121107340918e-6,91543/3433/4600/83666/2766/3627/3434,RSAD2/IFIT2/MX2/PARP9/GMPR/CXCL10/IFIT1,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000138496/ENSG00000137198/ENSG00000169245/ENSG00000185745
C2,CGP,AntiIL5,36,35,21697,BROWNE_INTERFERON_RESPONSIVE_GENES,5,67,0.07462686567164178,9.121746753739314e-6,6.303204358530355e-6,91543/3433/4600/2766/3627,RSAD2/IFIT2/MX2/GMPR/CXCL10,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000137198/ENSG00000169245
