Description,category,group,subcategory,size.group,size.overlap.category,size.category,size.overlap.term,size.term,k.K,p.adjust,qvalue,ENTREZIDs,SYMBOLs,ENSEMBLIDs
No enriched terms,C5,EOSsup,GO:BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOBP_DEFENSE_RESPONSE_TO_VIRUS,C5,AntiIL5,GO:BP,36,31,17949,7,260,0.026923076923076925,1.9344193144889396e-4,1.4141902587876877e-4,91543/3433/4600/83666/3627/3434/200315/200315,RSAD2/IFIT2/MX2/PARP9/CXCL10/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000138496/ENSG00000169245/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_RESPONSE_TO_VIRUS,C5,AntiIL5,GO:BP,36,31,17949,7,358,0.019553072625698324,8.266680206354803e-4,6.043497670218697e-4,91543/3433/4600/83666/3627/3434/200315/200315,RSAD2/IFIT2/MX2/PARP9/CXCL10/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000138496/ENSG00000169245/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,C5,AntiIL5,GO:BP,36,31,17949,6,344,0.01744186046511628,0.005301300043179971,0.003875605885354041,6373/3627/3579/8326/553/6262,CXCL11/CXCL10/CXCR2/FZD9/AVPR1B/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000180871/ENSG00000188763/ENSG00000198049/ENSG00000198626
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,C5,AntiIL5,GO:BP,36,31,17949,4,101,0.039603960396039604,0.005301300043179971,0.003875605885354041,91543/3433/4600/3434,RSAD2/IFIT2/MX2/IFIT1,ENSG00000134321/ENSG00000119922/ENSG00000183486/ENSG00000185745
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,C5,AntiIL5,GO:BP,36,31,17949,3,54,0.05555555555555555,0.012488764570930008,0.00913012451241372,91543/3434/200315/200315,RSAD2/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_POSITIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,141,0.028368794326241134,0.012488764570930008,0.00913012451241372,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,145,0.027586206896551724,0.012488764570930008,0.00913012451241372,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_DIVALENT_INORGANIC_CATION_HOMEOSTASIS,C5,AntiIL5,GO:BP,36,31,17949,6,499,0.012024048096192385,0.0183010367269221,0.013379285282708504,6373/3627/3579/8326/553/6262,CXCL11/CXCL10/CXCR2/FZD9/AVPR1B/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000180871/ENSG00000188763/ENSG00000198049/ENSG00000198626
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,3,70,0.04285714285714286,0.021039651078414164,0.015381396050238468,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,C5,AntiIL5,GO:BP,36,31,17949,3,78,0.038461538461538464,0.023701356581956635,0.017327281291704747,6373/3627/8349,CXCL11/CXCL10/H2BC21,ENSG00000169248/ENSG00000169245/ENSG00000184678
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,C5,AntiIL5,GO:BP,36,31,17949,3,76,0.039473684210526314,0.023701356581956635,0.017327281291704747,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,C5,AntiIL5,GO:BP,36,31,17949,3,83,0.03614457831325301,0.026087172727637106,0.019071472908903885,91543/3434/200315/200315,RSAD2/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,207,0.01932367149758454,0.02612991159541319,0.019102717887708554,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,C5,AntiIL5,GO:BP,36,31,17949,3,89,0.033707865168539325,0.027444352742215374,0.020063662524496605,91543/3434/200315/200315,RSAD2/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,C5,AntiIL5,GO:BP,36,31,17949,3,95,0.031578947368421054,0.02820424501714562,0.02061919474281416,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_RESPONSE_TO_CHEMOKINE,C5,AntiIL5,GO:BP,36,31,17949,3,96,0.03125,0.02820424501714562,0.02061919474281416,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_RESPONSE_TO_INTERFERON_ALPHA,C5,AntiIL5,GO:BP,36,31,17949,2,21,0.09523809523809523,0.02820424501714562,0.02061919474281416,3433/4600,IFIT2/MX2,ENSG00000119922/ENSG00000183486
GOBP_NEUTROPHIL_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,3,102,0.029411764705882353,0.03178696035924237,0.023238399947628295,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_REGULATION_OF_METAL_ION_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,247,0.016194331983805668,0.034705641390992095,0.02537215153534926,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,2,27,0.07407407407407407,0.037670344690141876,0.027539548487214894,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_T_CELL_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,2,27,0.07407407407407407,0.037670344690141876,0.027539548487214894,6373/3627,CXCL11/CXCL10,ENSG00000169248/ENSG00000169245
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,3,118,0.025423728813559324,0.03889333479870774,0.028433636281507035,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_SEQUESTERING_OF_CALCIUM_ION,C5,AntiIL5,GO:BP,36,31,17949,3,119,0.025210084033613446,0.03889333479870774,0.028433636281507035,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_GRANULOCYTE_CHEMOTAXIS,C5,AntiIL5,GO:BP,36,31,17949,3,123,0.024390243902439025,0.03936162230104471,0.02877598585336908,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_NEUTROPHIL_MIGRATION,C5,AntiIL5,GO:BP,36,31,17949,3,122,0.02459016393442623,0.03936162230104471,0.02877598585336908,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_VIRAL_GENOME_REPLICATION,C5,AntiIL5,GO:BP,36,31,17949,3,129,0.023255813953488372,0.04340652919182917,0.031733084079077115,91543/3434/200315/200315,RSAD2/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,C5,AntiIL5,GO:BP,36,31,17949,2,35,0.05714285714285714,0.049241381891291874,0.0359987527411072,9722/6262,NOS1AP/RYR2,ENSG00000198929/ENSG00000198626
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,304,0.013157894736842105,0.05069167598675576,0.037059014994911356,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,C5,AntiIL5,GO:BP,36,31,17949,3,142,0.02112676056338028,0.05123694757032877,0.03745764509341531,6373/3627/8349,CXCL11/CXCL10/H2BC21,ENSG00000169248/ENSG00000169245/ENSG00000184678
GOBP_GRANULOCYTE_MIGRATION,C5,AntiIL5,GO:BP,36,31,17949,3,147,0.02040816326530612,0.05393621858663903,0.03943099324420257,6373/3627/3579,CXCL11/CXCL10/CXCR2,ENSG00000169248/ENSG00000169245/ENSG00000180871
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,C5,AntiIL5,GO:BP,36,31,17949,3,148,0.02027027027027027,0.05393621858663903,0.03943099324420257,91543/3434/200315/200315,RSAD2/IFIT1/APOBEC3A/APOBEC3A,ENSG00000134321/ENSG00000185745/ENSG00000128383/ENSG00000262156
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,C5,AntiIL5,GO:BP,36,31,17949,2,40,0.05,0.0541737478941279,0.03960464309887024,6373/3627,CXCL11/CXCL10,ENSG00000169248/ENSG00000169245
GOBP_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,C5,AntiIL5,GO:BP,36,31,17949,3,152,0.019736842105263157,0.05466191994173762,0.0399615296069666,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,4,340,0.011764705882352941,0.06268506033080165,0.04582698333673253,6373/3627/9722/6262,CXCL11/CXCL10/NOS1AP/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198929/ENSG00000198626
GOBP_RESPONSE_TO_COLD,C5,AntiIL5,GO:BP,36,31,17949,2,47,0.0425531914893617,0.0681299224374991,0.049807542719106174,2766/3627,GMPR/CXCL10,ENSG00000137198/ENSG00000169245
GOBP_CYTOSOLIC_CALCIUM_ION_TRANSPORT,C5,AntiIL5,GO:BP,36,31,17949,3,173,0.017341040462427744,0.07031355515931041,0.0514039246931827,6373/3627/6262,CXCL11/CXCL10/RYR2,ENSG00000169248/ENSG00000169245/ENSG00000198626
GOBP_REGULATION_OF_BINDING,C5,AntiIL5,GO:BP,36,31,17949,4,357,0.011204481792717087,0.07031355515931041,0.0514039246931827,3433/83666/3434/55323,IFIT2/PARP9/IFIT1/LARP6,ENSG00000119922/ENSG00000138496/ENSG00000185745/ENSG00000166173
GOBP_HUMORAL_IMMUNE_RESPONSE,C5,AntiIL5,GO:BP,36,31,17949,4,373,0.010723860589812333,0.07366303720533716,0.053852620715806265,6373/3627/8349/7784,CXCL11/CXCL10/H2BC21/ZP3,ENSG00000169248/ENSG00000169245/ENSG00000184678/ENSG00000188372
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,C5,AntiIL5,GO:BP,36,31,17949,2,53,0.03773584905660377,0.07366303720533716,0.053852620715806265,6373/3627,CXCL11/CXCL10,ENSG00000169248/ENSG00000169245
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,C5,AntiIL5,GO:BP,36,31,17949,2,52,0.038461538461538464,0.07366303720533716,0.053852620715806265,91543/7784,RSAD2/ZP3,ENSG00000134321/ENSG00000188372
GOBP_RECEPTOR_CLUSTERING,C5,AntiIL5,GO:BP,36,31,17949,2,52,0.038461538461538464,0.07366303720533716,0.053852620715806265,8326/55333,FZD9/SYNJ2BP,ENSG00000188763/ENSG00000213463
